"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Protecting innovation through patents and trade secrets: Evidence for firms with a single innovation","https://scispace.com/paper/protecting-innovation-through-patents-and-trade-secrets-4a6y0j5it9","2019","Journal Article","International Journal of The Economics of Business","Dirk Crass
Francisco Garcia Valero
Francesco Pitton
Christian Rammer","10.1080/13571516.2019.1553291","https://www.tandfonline.com/doi/pdf/10.1080/13571516.2019.1553291","… patents and trade secrets designed to protect innovation. While previous studies have usually considered patents and trade secrets … of earlier empirical studies on the use of patents and …","This paper analyzes the use and effectiveness of patents and trade secrets designed to protect innovation. While previous studies have usually considered patents and trade secrets as substitutes fo..."
"Secrecy and patents: Theory and evidence from the Uniform Trade Secrets Act","https://scispace.com/paper/secrecy-and-patents-theory-and-evidence-from-the-uniform-ty0n0tfoss","2015","Journal Article","Social Science Research Network","Ivan P. L. Png","10.2139/SSRN.2617266","https://pubsonline.informs.org/doi/pdf/10.1287/stsc.2017.0035","… choice of patents and secrecy as appropriability mechanisms, … effective legal protection of trade secrets for each company, I … The empirical results suggest that businesses take account …","Stronger trade secrets law affects patenting in conflicting ways. It raises the return to commercialization and increases the exploitation of inventions, and so, increases patenting. However, for each particular invention, businesses may substitute secrecy for patents. Here, I exploit differences in the timing of the Uniform Trade Secrets Act (UTSA) in U.S. states and the impact on manufacturers with different geographic distribution of R&D to study the effect of stronger trade secrets law on patenting. The UTSA was associated with 19.5 percent fewer patents in complex technology industries but no significant effect in discrete technology industries. Further, the UTSA was associated with relatively greater reduction of patenting of larger inventions, among larger companies which are technology laggards, and in less competitive industries."
"Trade secret fair use","https://scispace.com/paper/trade-secret-fair-use-4opl4fnwn7","2014","Posted Content","Social Science Research Network","Deepa Varadarajan
Deepa Varadarajan","","https://ir.lawnet.fordham.edu/cgi/viewcontent.cgi?article=5061&context=flr","… merits of a similar safety valve in trade secret law and argues … underpinnings of trade secret law to patent and copyright. … Empirical evidence suggests that, after eBay, district courts …","Trade secret law arose to help companies protect confidential information (e.g., the Coca-Cola formula) from competitors seeking to copy their innovative efforts. But companies increasingly use trade secret law to block a wide swath of information from the scrutinizing eyes of consumers, public watchdog groups, and potential improvers. Companies can do this, in part, because trade secret law lacks clear limiting doctrines that consider the social benefits of unauthorized use. For example, trade secret law makes no allowance for the departing employee that uses proprietary information to create a substantially improved product or disclose public health risks. This Article argues that trade secret law's indifference to the social benefits of unauthorized use stands in contrast to other intellectual property doctrines, like patent and copyright. Copyright law incorporates the affirmative defense of ""fair use,"" which aims to protect a variety of unauthorized but socially beneficial uses of another's copyrighted work (e.g., educational uses). To a lesser extent, patent law's reverse doctrine of equivalents and remedies analysis direct courts to consider the social benefits of a defendant's technological improvement. Such limiting doctrines act as safety valves to reconcile intellectual property rights with competing cumulative innovation and First Amendment interests. This Article demonstrates the need for a similar safety valve in trade secret law and argues that courts should adopt a multi-factor ""trade secret fair use"" analysis to better address these competing concerns."
"The management and security of trade secrets: An exploratory study","https://scispace.com/paper/the-management-and-security-of-trade-secrets-an-exploratory-14mcb3xa9t","2009","Journal Article","International Journal of Intellectual Property Management","D. Richard Stead
Adam R. Cross","10.1504/IJIPM.2009.024405","","… : Trade secrets differ from intellectual property such as patents, … However, much of this work is not based upon empirical … general notion of a trade secret as contributing to a company’s …","Trade secrets differ from intellectual property such as patents, trademarks and industrial designs in that, for the latter to receive legal protection, they must be placed in the public domain. By contrast, trade secrets are not disclosed but receive legal protection by virtue of the steps taken to keep them secret. This exploratory study seeks to provide a foundation for a general understanding of the nature and governance of trade secrets and their role in management practice. Propositions are developed and tested on their nature, location within the firm and the mechanisms that operate to keep them secure from betrayal to competitors."
"Law and innovation: Evidence from state trade secrets laws","https://scispace.com/paper/law-and-innovation-evidence-from-state-trade-secrets-laws-1dz49v7lmj","2012","Journal Article","Social Science Research Network","Ivan P. L. Png","10.2139/SSRN.1755284","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1755284","… Using a new index of the legal protection of trade secrets, I … analytical and empirical research into trade secrets. Section III … look beyond patents and give more attention to trade secrets. …","Here, I study the effect of trade secrets laws on R&D and patenting. Stronger secrecy protection could increase or reduce R&D. By reducing spillovers, stronger protection might reduce or raise the return to R&D, depending on whether spillover and own R&D are complements or substitutes. By strengthening appropriability, stronger protection would raise the return to R&D. Empirically, I find a nuanced relation between changes in trade secrets law and R&D among U.S. manufacturers between 1976 and 2006. The relation increased with company size, as measured by sales revenue, and was present among high-tech companies, but not among low-tech companies. The increase in trade secrets protection in California between 1978-84 and 1990-98 was, for the average company in the respective industry, associated with 4.9% less R&D in industrial inorganic chemicals (SIC 2810), a low technology industry, and 14.8% more R&D in pharmaceuticals (SIC 2834), a high technology industry. Further, I find that stronger trade secrets law was associated with reduced patenting, suggesting that trade secrets and patents served as substitutes."
"Property rights in trade secrets","https://scispace.com/paper/property-rights-in-trade-secrets-14t3f7czx0","1982","Journal Article","Economic Inquiry","Steven N. S. Cheung","10.1111/J.1465-7295.1982.TB01141.X","","… to deny legal protection to a trade secret without threatening … by our investigation of patent and trade-secret licenses but also … At present we lack empirical evidence on this issue. Any …",""
"Money secrets: How does trade secret legal protection affect firm market value? Evidence from the uniform trade secret act","https://scispace.com/paper/money-secrets-how-does-trade-secret-legal-protection-affect-3qk55gr5j9","2017","Journal Article","Strategic Management Journal","Francesco Castellaneta
Raffaele Conti
Aleksandra Kacperczyk","10.1002/SMJ.2533","","… Given the substantial differences between patents and trade secret protection, the impact of the latter … Moreover, in this empirical setting we can easily identify companies acquired by PE …","Research summary: We investigate the impact of trade secret legal protection on firm market value in the context of acquisitions. On one hand, market value may increase because trade secret assets become better protected from rivals. On the other hand, market value may decrease because trade secret protection reduces information about the target and its competitors available to potential buyers, increasing uncertainty about its value. Buyers will discount their offers in expectation of being compensated for riskier deals. Using a sample of private equity investments in the United States, we find that trade secret protection has a positive effect in industries with high mobility of knowledge workers, but a negative effect in industries with (1) high resource–value uncertainty and (2) high poor-investment risk.

Managerial summary: We argue that an increase in trade secret legal protection might not unequivocally benefit firm owners when selling their business. A stronger trade secret protection increases the market value of firms in industries with high workers' mobility, but it decreases the market value of firms in industries with uncertain resource value and/or high risk of poor-acquisition investments. Based on the contingent effect of trade secret protection, companies may want to adjust their strategic decisions, including where to locate or relocate, based in part on whether they will derive benefits or suffer losses when trade secrets are better protected. Finally, our study should help policymakers understand more fully the economic impact of government policies associated with trade secrets."
"Trade Secrets Legal Protection","https://scispace.com/paper/3I2phgfYc7QJ","","","","L Desaunettes-Barbero","","https://www.academia.edu/download/105579169/978_3_031_26786_4_1_.pdf","… a patent. It should therefore come as no surprise that all empirical studies concerning the relevance of trade secrets … of our companies are adequately protected against theft and misuse. …",""
"Trade secrets and innovation: Evidence from the “inevitable disclosure” doctrine","https://scispace.com/paper/trade-secrets-and-innovation-evidence-from-the-inevitable-1oxgikneoe","2018","Journal Article","Strategic Management Journal","Andrea Contigiani
David H. Hsu
Iwan Barankay","10.1002/SMJ.2941","https://www.econstor.eu/bitstream/10419/180997/1/1028026986.pdf","… , a prerequisite for empirical analysis: Patent protection is … to keep trade secrets secret (discovering trade secrets via legal … Paradoxically, our results suggest that what many firms and …","Research Summary: Does heightened employer‐friendly trade secrecy protection help or hinder innovation? By examining U.S. state‐level legal adoption of a doctrine allowing employers to curtail inventor mobility if the employee would “inevitably disclose” trade secrets, we investigate the impact of a shifting trade secrecy regime on individual‐level patenting outcomes. Using a difference‐in‐differences design taking unaffected U.S. inventors as the comparison group, we find strengthening employer‐friendly trade secrecy adversely affects innovation. We then investigate why. We do not find empirical support for diminished idea recombination from suppressed inventor mobility as the operative mechanism. While shifting intellectual property protection away from patenting into trade secrecy has some explanatory power, our results are consistent with reduced individual‐level incentives to signaling quality to the external labor market. Managerial Summary: While managers often list trade secrecy protection as their most important appropriation mechanism form and basis of competitive advantage (even more often than formal intellectual property protection), researchers have a hard time studying the effect of such secrets. We use a changing trade secrecy legal environment in some U.S. states (the introduction of the inevitable disclosure doctrine [IDD]) to study its effect on inventor‐level innovation. We find that a strengthened employer‐friendly trade secrecy regime adversely affects inventor‐level innovation. While part of the effect is due to substituting trade secrecy protection for patents, we also find that inventors’ diminished external labor market prospects may dampen their innovation output. Consequently, while employers may wish for strengthened trade secrecy protections, the results may paradoxically be against their innovation interests."
"Study on the legal protection of trade secrets in the context of the data economy","https://scispace.com/paper/bSH6WuBrNgEJ","","","","A Radauer
M Bader
T Aplin
U Konopka
N Searle","","https://research.gold.ac.uk/id/eprint/32803/2/study%20on%20the%20legal%20protection%20of%20trade%20secrets%20in-EA0922449ENN.pdf","… Company case studies and testimonials may help convey the practicability and importance … and competition and ensure the efficacy of the patent system is not undermined.In addition, …",""
