"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Intellectual Property and Patenting","https://scispace.com/paper/u8OZCiOPaAoJ","","","","A Nazari","","","… care often intersect, IP strategy is inseparable from regulatory strategy, market … Empirical work on transformative devices shows that early-stage … Patent pooling and shared IP strategies. …",""
"Managing the challenges of pharmaceutical patent expiry: a case study of Lipitor","https://scispace.com/paper/managing-the-challenges-of-pharmaceutical-patent-expiry-a-2qb8m7l9tk","2016","Journal Article","","Chon Kit Chao
Hao Hu
Liming Zhang
Jihong Wu","10.1108/JSTPM-12-2015-0040","https://www.emerald.com/jstpm/article-pdf/7/3/258/1668503/jstpm-12-2015-0040.pdf","… strategy was applied before and after patent expiry. … their intellectual property (Roemer-Mahler, 2013; Schacht and Thomas, 2005). When a generic drug is challenged in court, FDA is …","Purpose




The paper aims to study how global pharmaceutical companies such as Pfizer have managed the challenges of pharmaceutical patent expiry




Design/methodology/approach




A case study method was applied The best-selling brand drug over the past 10 years – Lipitor – was chosen as the case target




Findings




For dealing with this, this paper describes all the details of the corresponding strategies of Pfizer before and after patent expiration of Lipitor Before patent expiry, Pfizer undertook the activities of direct-to-consumer marketing, pricing strategy for competition, legal delay and me-too drug R&D After patent expiry, Pfizer chose to carry out continuous marketing for brand, rebate strategy, authorized generics and change to over-the-counter In addition, diversity and globalization strategy was applied before and after patent expiry




Research limitations/implications




This research provides strong implication for managing pharmaceutical products before and after patent expiry




Practical implications




It is strongly recommended for both brand and generic drug companies to design strategies to meet the challenges of pharmaceutical patent expiry




Social implications




For the global pharmaceutical market, a conclusion can be drawn that, nowadays, the “patent cliff” is the most significant factor influencing decision-makers to consider futuristic policies Further, it is also a considerably effective solution for reducing health-care costs for policymakers




Originality/value




This paper contributes to the field of patent expiry management in high-tech industries such as pharmaceuticals"
"Intellectual property business models using patent acquisition: A case study of Royalty Pharma Inc.","https://scispace.com/paper/intellectual-property-business-models-using-patent-105ns3f4v7","2016","Journal Article","Journal of Commercial Biotechnology","Su Young Lim
Minsuk Suh","10.5912/JCB736","https://www.researchgate.net/profile/Minsuk-Suh/publication/307617150_Intellectual_Property_Business_Models_Using_Patent_Acquisition_A_Case_Study_of_Royalty_Pharma_Inc/links/5df4761aa6fdcc28371f4f0a/Intellectual-Property-Business-Models-Using-Patent-Acquisition-A-Case-Study-of-Royalty-Pharma-Inc.pdf","… this case study, is one of the gardener type companies. The gardener type improves the financial condition of the patent-… and it has a portfolio of 26 types of FDA/EMA-approved products …","In the pharmaceutical industry, companies are currently facing great challenges in developing new products due to patent expiration and decreasing profitability. In particular, the decrease in R&D productivity caused by the constant increase in the development period and cost of innovative new drugs means that the expectations of investors cannot be met. This study examined the successful case of Royalty Pharmaâ€™s business model, which adopted securitization, a new investment method that makes advance payments of future profits in order to overcome the decline in R&D productivity and enables the pharmaceutical manufacturers (as patent owners) to resolve the issue of attracting investment funds, while also making these funds available for other development projects. It examined the role in the biopharmaceutical sector of patent aggregating companies in providing the competency to analyze patent technologies and to create investment megafunds, as well as the success factors that can lead to a virtuous cycle of product development. From this analysis, the application of a patent-based business model is proposed for small and mid-sized pharmaceutical industries"
"Open innovation and intellectual property strategy: the catch-up processes of two Chinese pharmaceutical firms","https://scispace.com/paper/open-innovation-and-intellectual-property-strategy-the-catch-3wsui4wo82","2015","Journal Article","Technology Analysis & Strategic Management","Shengce Ren
Peiran Su","10.1080/09537325.2015.1061117","","… ) were selected for this case study. The two Chinese firms … IP strategy of Hengrui Medicine was reinforced after a patent … first FDA certification for Daunorubicin in 1992 and received FDA …","We explore the interaction of open innovation and intellectual property (IP) in two Chinese latecomer pharmaceutical firms in their catch-up process. Studying archival data, documentation, and interviews, we found that the two firms exhibited five periods that were characterised by different open innovation activities and RD thus, they imported technologies and pursued production-oriented strategies. As they gradually entered into collaborations and established their R&D departments, open innovation and IP protection played important and dynamic roles in this process. Thus, a catch-up process involves not only acquiring technological capabilities and innovative competencies but also transforming a firm's capacity to strategies."
"Open innovation and intellectual property: a knowledge-based approach","https://scispace.com/paper/open-innovation-and-intellectual-property-a-knowledge-based-3jqbzb6o7l","2017","Journal Article","Management Decision","Antonello Cammarano
Mauro Caputo
Emilia Lamberti
Francesca Michelino","10.1108/MD-03-2016-0203","https://www.emerald.com/md/article-pdf/55/6/1182/1891883/md-03-2016-0203.pdf","… Actually, FDA labels new drugs at the time of approval along … Specifically, the FDA’s therapeutic potential corresponds to the “… As of patent portfolio size, we calculated the number of …","Purpose




The purpose of this paper is to provide a patent-based framework for investigating the effect of previous and current open innovation (OI) adoption on firms’ knowledge management strategies and type of innovation output




Design/methodology/approach




Patent data are employed for gauging innovation practices, exploitation vs exploration strategies, specialization vs diversification choices and type of innovation The study is performed on a sample of 1,280 patents granted to 66 top R&D spending bio-pharmaceutical companies The year of analysis is 2010




Findings




The previous recourse to specific innovation practices influences the current practice selection R&D collaboration, outsourcing and mergers and acquisitions are employed to pursue exploration Past purchase of patents increases the likelihood to achieve architectural and radical innovation in current activities




Research limitations/implications




The work recommends the use of patent data to gauge many key elements for knowledge and innovation management Results exhort scholars to investigate innovation practices at the knowledge domain level in order to detect specific behaviors




Practical implications




The study provides a methodology for supporting decision-makers in assessing firms’ OI adoption, also performing the benchmark with competitors and R&D partners Given the high computational effort required for applying the methodology, the authors are planning to give access to the software specifically developed for this study




Originality/value




The work contributes to the current debate considering the effect of a combination of innovation practices on knowledge management strategies and type of innovation output, with a particular focus on OI activities Moreover, the separation between the impact of previous and current innovation practices provides useful insights"
"Secondary patenting of branded pharmaceuticals: a case study of how patents on two HIV drugs could be extended for decades","https://scispace.com/paper/secondary-patenting-of-branded-pharmaceuticals-a-case-study-4xaq47vrpi","2012","Journal Article","Health Affairs","Tahir Amin
Aaron S. Kesselheim","10.1377/HLTHAFF.2012.0107","","… Pharmaceutical manufacturers rely on patents to protect their intellectual property: Patents … Because this case study focused on a single manufacturer’s patent strategy, we obtained only …","Pharmaceutical manufacturers rely on patents to protect their intellectual property and often seek to extend market exclusivity for their products to maximize their return on investment. One method is by obtaining patents on features other than the original active drug ingredient, including secondary patents on alternate formulations of the drug or on methods of administration. This article examines how secondary patents can extend market exclusivity and thus delay generic competition, using as an example two key antiretroviral drugs for the management of HIV: ritonavir (Norvir) and lopinavir/ritonavir (Kaletra). We identified 108 patents, which together could delay generic competition until at least 2028—twelve years after the expiration of the patents on the drugs’ base compounds and thirty-nine years after the first patents on ritonavir were filed. Some of the secondary patents that were reviewed were found to be of questionable inventiveness. We argue that increased transparency for existing patents, ..."
"Intellectual property strategy and business strategy: connections through innovation strategy","https://scispace.com/paper/cXGFNw3sbxoJ","","","","D Samson
M Terziovski
A Lai","","https://www.researchgate.net/profile/Daniel-Samson-2/publication/228740384_Intellectual_Property_Strategy_and_Business_Strategy_Connections_through_Innovation_Strategy/links/0046352c3c37f86e49000000/Intellectual-Property-Strategy-and-Business-Strategy-Connections-through-Innovation-Strategy.pdf","… the intellectual property that was granted by the patent was to … Intellectual property strategies, whether to patent or otherwise, … case study highlights best practice in intellectual property …",""
"A study of intellectual property protection policies and innovation in the Indian pharmaceutical industry and beyond","https://scispace.com/paper/a-study-of-intellectual-property-protection-policies-and-1ks5r50tka","2015","Journal Article","Technovation","Dominique Bouet","10.1016/J.TECHNOVATION.2014.10.007","","We study the relationship between Trade Related Intellectual Property rights (TRIPS) and innovation. Using export data, this paper aims at assessing the relative impact of TRIPs on …",""
"An exploratory analysis of patent fencing in pharmaceuticals: The case of PDE5 inhibitors","https://scispace.com/paper/an-exploratory-analysis-of-patent-fencing-in-pharmaceuticals-2axuvx7zx6","2013","Journal Article","Research Policy","Christian Sternitzke","10.1016/J.RESPOL.2012.11.003","https://pharmachitchat.wordpress.com/wp-content/uploads/2015/06/1-s2-0-s0048733312002582-main.pdf","… In this paper I study patent fencing, a specific filing strategy to use multiple related patents to … Building on an inductive case study, this paper explores the mechanisms behind patent …",""
"The effects of business practices, licensing, and intellectual property on development and dissemination of the polymerase chain reaction: case study","https://scispace.com/paper/the-effects-of-business-practices-licensing-and-intellectual-b4f1xxoxvu","2006","Journal Article","Journal of Biomedical Discovery and Collaboration","Joe Fore
Ilse R. Wiechers
Ilse R. Wiechers
Robert Cook-Deegan","10.1186/1747-5333-1-7","https://link.springer.com/content/pdf/10.1186/1747-5333-1-7.pdf","… of the patent, examining how the intellectual property rights … the result of a deliberate strategy to maintain trade secrecy, … when, in July 1990, an FDA review board failed to approve IL…","Polymerase chain reaction (PCR) was a seminal genomic technology discovered, developed, and patented in an industry setting. Since the first of its core patents expired in March, 2005, we are in a position to view the entire lifespan of the patent, examining how the intellectual property rights have impacted its use in the biomedical community. Given its essential role in the world of molecular biology and its commercial success, the technology can serve as a case study for evaluating the effects of patenting biological research tools on biomedical research. Following its discovery, the technique was subjected to two years of in-house development, during which issues of inventorship and publishing/patenting strategies caused friction between members of the development team. Some have feared that this delay impeded subsequent research and may have been due to trade secrecy or the desire for obtaining lucrative intellectual property rights. However, our analysis of the history indicates that the main reasons for the delay were benign and were primarily due to difficulties in perfecting the PCR technique. Following this initial development period, the technology was made widely available, but was subject to strict licensing terms and patent protection, leading to an extensive litigation history. PCR has earned approximately $2 billion in royalties for the various rights-holders while also becoming an essential research tool. However, using citation trend analysis, we are able to see that PCR's patented status did not preclude it from being adopted in a similar manner as other non-patented genomic research tools (specifically, pBR322 cloning vector and Maxam-Gilbert sequencing). Despite the heavy patent protection and rigid licensing schemes, PCR seems to have disseminated so widely because of the practices of the corporate entities which have controlled these patents, namely through the use of business partnerships and broad corporate licensing, adaptive licensing strategies, and a ""rational forbearance"" from suing researchers for patent infringement. While far from definitive, our analysis seems to suggest that, at least in the case of PCR, patenting of genomic research tools need not impede their dissemination, if the technology is made available through appropriate business practices."
