"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Intellectual property management and technological entrepreneurship","https://scispace.com/paper/intellectual-property-management-and-technological-46h3fjamme","2013","Journal Article","International Journal of Innovation and Technology Management","Kelvin W. Willoughby","10.1142/S0219877013400270","https://scispace.com/pdf/intellectual-property-management-and-technological-46h3fjamme.pdf","This paper investigates the distinctive technology protection strategies of entrepreneurial technology firms. In contrast with much popular opinion, it is reported that intellectual property features more prominently in the business of small entrepreneurial firms than it does in the business of large, established mature firms. The intellectual property portfolios of technology firms of all sizes and ages exhibit a rich array of instruments in addition to patents for protecting technology, including trade secrets, trademarks and copyright, together with licenses to externally sourced technology. The intellectual property profiles of technology firms appear to be influenced by their context, organizational profiles and corporate goals and by the character of their technology.","firms vis-à-vis intellectual property, may any obvious structure or pattern of practices be discerned within that diversity? Questions for empirical research: • Is the patent right the dominant type of intellectual property right upon which firms rely to protect their technology? Questions for empirical research:
 • How prominent are the positions of trade secrets, copyright, trademarks and other forms of intellectual property protection alongside patents in the intellectual property portfolios of firms? Questions for empirical research:
 • Are trade secrets (which do not generally require registration) especially preferred by small and medium sized enterprises over other forms of intellectual property, such as patents, that do require registration? Questions for empirical research:
 • Does intellectual property occupy a more-prominent or less-prominent position in the business of small, young entrepreneurial technology firms than it does in the business of large, established, mature technology firms? Questions for empirical research:
 • Does the typical intellectual property portfolio of small, young entrepreneurial technology firms differ in its profile from the typical intellectual property portfolio of large, established, mature technology firms? Questions for empirical research:
 • What are the forces or factors that appear to determine or constrain the intellectual property profile of technology firms? Questions for empirical research:
 The balance of this paper will be devoted to addressing the above questions by reporting the results of original empirical research about the behaviors of technology firms vis-à-vis intellectual property management. The results are drawn from a ground-up study of firms in industries that are preeminent examples of ""high technology"" industries and that are heavily entrepreneurial in nature-the ""bioscience-technology"" industries in the United States. The above eight questions may be condensed in to the following triple question at the core of this paper: what practices do firms actually adopt to protect their technology, what special shape do these practices take for entrepreneurial firms, and what forces seem to influence the adoption of one approach rather than other approaches that, in principle, may be available to a firm?"
"The Corporate Preference for Trade Secret","https://scispace.com/paper/the-corporate-preference-for-trade-secret-1n6gob1g0l","2013","Journal Article","The Ohio State Law Journal","Andrew A. Schwartz","","https://scispace.com/pdf/the-corporate-preference-for-trade-secret-1n6gob1g0l.pdf","Many inventions can be legally protected either by patent or by trade secrecy, and a conventional wisdom exists on how to select between them. This Article adds to that literature by showing that corporations should have an inherent preference for trade secret over patent for reasons relating to their legal form. Among them is the idea that corporations are perpetual entities and therefore perfectly suited to reap the perpetual returns that only a trade secret can offer. The Article also addresses the potential for a conflict between the inherent corporate preference for trade secret and the preferences of corporate managers, who may prefer patent for reasons of their own.","snugly around a baby's head and handles that locked together with a single screw in the middle. It let doctors more or less yank stuck babies out and, carefully applied, was the first technique that could save both the baby and the mother.""). The Public Interest Can Be Served by Either One:
 54 Id   328. It is sufficient for present purposes to establish that trade secrecy can at least sometimes be at least as pro-social as patent law, because then a corporate disposition in favor of trade secrecy is not problematic. 60See Kewanee, 416 U.S. at 484 (trade secrecy, like patent, is ""another form of incentive to invention""); Lemley, Surprising, supra note 10, at 330 (""Trade secrecy .. . gives the developer of new and valuable information the right to restrict others from using it, and therefore the prospect of deriving supracompetitive profits from the information.""). be more powerful than that from patent, in part because trade secret offers the opportunity for potentially perpetual wealth, while patent is limited in time.  And the primary critique of trade secrets-that they keep ideas bottled up, preventing others from building on them-turns out to be an oversimplification. While it is true that trade secrets cannot by their nature be shared with the public as a whole, trade secret protection does encourage private disclosure to employees, potential business partners and others, as Mark Lemley has persuasively argued.  This is because trade secret protection allows one ""to disclose the idea in precontractual negotiations, secure in the knowledge that the other side is not free to take the idea without compensat[ion,] . . . and therefore permits business negotiations that can lead to commercialization of the invention or sale of the idea."" 63 Also, ""the legal protection trade secret law provides serves as a substitute for investments in physical secrecy that companies might otherwise make,"" which are likely to be inefficiently elaborate and costly.  The upshot is that, despite the lack of public disclosure, ""for certain types of inventions we may actually get more useful 'disclosure' at less cost from trade secret than from patent law.""  So, trade secrecy is not some sort of boogeyman to be avoided at all costs. 66 And patents have plenty of problems of their own. They can impede innovation, drive up the cost of consumer products, clog up the court system and be used oppressively.  For instance, a lawsuit was recently filed that accused certain patent-holders of extortion and racketeering.  In conclusion, patent is not perfect, and trade secret has at least some merit.  Therefore, a corporate preference for trade secrecy over patent appears not to offend the public interest. offers ""partial protection ... only for a brief period; after which, it shall be a subject of free plunder by all,"" and arguing in favor of a system of ""perpetual property"" in ideas, for then we would ""doubtless have five, ten, twenty, or more times as many valuable inventions, as we now have""); Anderson, supra note 37, at 954 (""In certain cases, secrecy can encourage innovation where patenting cannot."").  See Lemley, Surprising, supra note 10, at 332-37.  Id. at 336-37. 64 1d. at 333-35. 65 1d. at 314; Anderson, supra note 37, at 945 n.155 (quoting Lemley, Surprising, supra note 10, at 314)."
"Why Do Startups Use Trade Secrets","https://scispace.com/paper/why-do-startups-use-trade-secrets-2ueu829ebo","2019","Journal Article","Notre Dame Law Review","David S. Levine
Ted M. Sichelman","","https://scispace.com/pdf/why-do-startups-use-trade-secrets-2ueu829ebo.pdf","Empirical studies of the use of trade secrecy are scant, and those focusing on startups, non-existent. In this paper, we present the first set of data — drawn from the Berkeley Patent Survey — on the use of trade secrets by U.S. startup companies in the software, biotechnology, medical device, and hardware industries. Specifically, we report on the prevalence of trade secrecy usage among startups. Additionally, we assess the importance of trade secrets in relation to other forms of intellectual property protection and barriers to entry, such as patents, copyrights, first-mover advantage, and complementary assets. We segment these results by a variety of factors, including industry, company business model, overall revenue, patenting propensity, funding sources, innovation types, and licensing. From this segmentation, we implement a basic regression model and report on those factors showing a statistically significant relationship in the use of trade secrets by startups. Our results point to three major findings. First, trade secrecy serves other important aims aside from first-mover advantage. Second, trade secrets may act both as economic complements and substitutes to patenting. Third, trade secrets may serve as important strategic assets, functioning much in the same manner as patents in terms of licensing and setting the boundaries of the firm.","131 See Levine, supra note 44, at 174 (""Additionally, the existence of the right to a perennial secret might make sense in the commercial context where the owner of the secret runs the risk of it being reverse-engineered or independently discovered.""). Fear of Others Independently Patenting the Invention:
 developed the same invention by legitimate means.  The fact that a third party may not only escape trade secret infringement via the shield of independent invention, but also acquire a sword to accuse others of patent infringement-perhaps even the original trade secret holder-may often tip the balance in favor of patent protection.  For instance, Professor Ronald Mann postulates that software startups have no ""foothold"" protection in trade secrecy given the possibility of independent discovery or invention and subsequent patenting.  Similarly, there is evidence that pharmaceutical and biotech companies decide to patent processes-which otherwise could be maintained as trade secretsbecause ""if they do not patent the process, they risk that another firm will patent it, and block them from further developing and using it.""  On this view, patents are used not because they are necessarily a superior form of IP protection, but simply because there is ""no choice but to patent.""  In this regard, more competition naturally means more risk of being patented out of existence. Thus, despite the high costs to patenting, the risk of complete or even partial loss may be a powerful incentive to patent.  This is arguably especially the case when a company can withhold some sensitive information about an invention, yet still disclose enough to obtain a patent. Inability to Market or Even Explain to Investors:
 A major challenge with utilizing trade secrecy (in the legal sense) is having to utilize secrecy (in the general sense).  Trade secrecy typically does not attract venture capitalists and other investors who may refuse to sign confidentiality agreements.  Patents, on the other hand, are typically more well-defined sets of rights that can provide something ""tangible"" for startups to sell to potential investors.  Patents may allow for better signaling to investors, and thus may be more valuable to inexperienced innovators.  Or it may simply be the case that a company is willing to disclose otherwise secret information to raise investment dollars regardless of whether it can patent or gain other IP protection.  In contrast, beyond startup financing, trade secrecy may make it more difficult for analysts and institutional investors to follow companies that are publicly traded.  To the extent that a startup's strategy is to do an initial public offering (IPO), a business strategy centered around trade secrecy may not be the most sensible. 146 4. Tension with Open Source, Open Innovation, and Other ""Sharing"" Models"
"Why Do Startups Use Trade Secrets","https://scispace.com/paper/why-do-startups-use-trade-secrets-5nzcjhqztq","2018","Journal Article","Social Science Research Network","David S. Levine
David S. Levine
Ted M. Sichelman","10.2139/SSRN.3166834","https://scispace.com/pdf/why-do-startups-use-trade-secrets-5nzcjhqztq.pdf","Empirical studies of the use of trade secrecy are scant, and those focusing on startups, non-existent. In this paper, we present the first set of data — drawn from the Berkeley Patent Survey — on the use of trade secrets by U.S. startup companies in the software, biotechnology, medical device, and hardware industries. Specifically, we report on the prevalence of trade secrecy usage among startups. Additionally, we assess the importance of trade secrets in relation to other forms of intellectual property protection and barriers to entry, such as patents, copyrights, first-mover advantage, and complementary assets. We segment these results by a variety of factors, including industry, company business model, overall revenue, patenting propensity, funding sources, innovation types, and licensing. From this segmentation, we implement a basic regression model and report on those factors showing a statistically significant relationship in the use of trade secrets by startups. Our results point to three major findings. First, trade secrecy serves other important aims aside from first-mover advantage. Second, trade secrets may act both as economic complements and substitutes to patenting. Third, trade secrets may serve as important strategic assets, functioning much in the same manner as patents in terms of licensing and setting the boundaries of the firm.","131 See Levine, supra note 44, at 174 (""Additionally, the existence of the right to a perennial secret might make sense in the commercial context where the owner of the secret runs the risk of it being reverse-engineered or independently discovered.""). Fear of Others Independently Patenting the Invention:
 developed the same invention by legitimate means.  The fact that a third party may not only escape trade secret infringement via the shield of independent invention, but also acquire a sword to accuse others of patent infringement-perhaps even the original trade secret holder-may often tip the balance in favor of patent protection.  For instance, Professor Ronald Mann postulates that software startups have no ""foothold"" protection in trade secrecy given the possibility of independent discovery or invention and subsequent patenting.  Similarly, there is evidence that pharmaceutical and biotech companies decide to patent processes-which otherwise could be maintained as trade secretsbecause ""if they do not patent the process, they risk that another firm will patent it, and block them from further developing and using it.""  On this view, patents are used not because they are necessarily a superior form of IP protection, but simply because there is ""no choice but to patent.""  In this regard, more competition naturally means more risk of being patented out of existence. Thus, despite the high costs to patenting, the risk of complete or even partial loss may be a powerful incentive to patent.  This is arguably especially the case when a company can withhold some sensitive information about an invention, yet still disclose enough to obtain a patent. Inability to Market or Even Explain to Investors:
 A major challenge with utilizing trade secrecy (in the legal sense) is having to utilize secrecy (in the general sense).  Trade secrecy typically does not attract venture capitalists and other investors who may refuse to sign confidentiality agreements.  Patents, on the other hand, are typically more well-defined sets of rights that can provide something ""tangible"" for startups to sell to potential investors.  Patents may allow for better signaling to investors, and thus may be more valuable to inexperienced innovators.  Or it may simply be the case that a company is willing to disclose otherwise secret information to raise investment dollars regardless of whether it can patent or gain other IP protection.  In contrast, beyond startup financing, trade secrecy may make it more difficult for analysts and institutional investors to follow companies that are publicly traded.  To the extent that a startup's strategy is to do an initial public offering (IPO), a business strategy centered around trade secrecy may not be the most sensible. 146 4. Tension with Open Source, Open Innovation, and Other ""Sharing"" Models"
"The DTSA at One: An Empirical Study of the First Year of Litigation Under the Defend Trade Secrets Act","https://scispace.com/paper/the-dtsa-at-one-an-empirical-study-of-the-first-year-of-2grn11cesr","2018","Journal Article","Wake Forest Law Review","David S. Levine
Christopher B. Seaman","","https://scispace.com/pdf/the-dtsa-at-one-an-empirical-study-of-the-first-year-of-2grn11cesr.pdf","This article represents the first comprehensive empirical study of the Defend Trade Secrets Act (“DTSA”), the law enacted by Congress in 2016 that created a federal civil cause of action for trade secret misappropriation. The DTSA represents the most significant expansion of federal involvement in intellectual property law in at least 30 years. In this study, we examine publicly-available docket information and pleadings to assess how private litigants have been utilizing the DTSA. Based upon an original dataset of nearly 500 newly-filed DTSA cases in federal court, we analyze whether the law is beginning to meet its sponsors’ stated goals of creating more robust and efficient litigation vehicles for trade secret misappropriation victims, thereby helping protect valuable American intellectual property assets. 
We find that, similar to state trade secrets law, the paradigm misappropriation scenario under the DTSA involves a former employee who absconds with alleged trade secrets to a competitor. Other results, however, raise questions about the new law’s ability to effectively address modern cyberespionage threats, particularly from foreign actors, as well as the purpose (or lack thereof) of trade secret law more broadly. We conclude by discussing our data’s implications for trade secret law and litigation, as well as commenting on the DTSA’s potential impact on the broader issues of cybersecurity and information flow within our innovation ecosystem.","doctrines like copyright and patent have benefitted from an active and growing body of both theoretical and empirical work upon which to understand their parameters, 73 trade secrecy remains understudied. In particular, despite being a heavily litigated area of IP law, 2018] THE DTSA AT ONE 121:
 There are few major empirical studies of trade secret law or litigation involving trade secrets, and most are dated.  Similarly, while there has been some excellent theoretical and policy analysis regarding trade secret law and its role in innovation policy, 78 many more scholars focus on copyright, patent, and trademark law.  Among the reasons for trade secrecy's scant treatment by scholars are its aforementioned state law status 80 and the general reticence of companies to disclose their trade secret practices and misappropriations.  Additionally, as trade secrecy often fills in the gaps between other forms of IP protection 82 and has no registration requirement with a governmental body, 83 it is a challenging area for empirical study. For example, because trade secrecy overlaps heavily with employment law in areas like covenants not to compete and the inevitable disclosure doctrine, 84 crafting empirical trade secret studies that would not be subsumed in contract and employment law concepts requires careful tailoring and analysis. Existing empirical studies, although limited, have indicated some basic trends that are worth noting in the context of understanding the DTSA's impact. The ability of companies to acquire knowledge and employees, and therefore become ""disruptors"" in the market sense of the word, is directly related to their willingness to employ and deploy trade secrecy.  To the extent that a company is engaged in businesses where reverse engineering is a primary concern, like pharmaceuticals, the prevalence of trade secrecy diminishes.  Additionally, it is difficult to market the existence of valuable trade secrets within a firm to its investors. Thus, some studies theorize that companies use trade secrecy primarily in the initial research and development (""R&D"") phase and later move toward patenting as a way to publicly disclose their potential for success to investors.  At the same time, other studies find that small-and medium-sized entities are less likely to use patents and prefer secrecy due to the cost of patenting and the desire to be first to market.  Particularly where a company perceives that it has a strong advantage in R&D over competitors, it may prefer trade secrecy to maintain that advantage.   87. See Levine & Sichelman, supra note 7 (manuscript at 9) (""Thus, keeping information secret in the R&D stage is a particularly strong reason for startups to use trade secrecy, especially if the trade secret is the firm's sole asset."" (emphasis omitted)); see also R. Mark Halligan, Trade Secrets v. Patents: The New Calculus, LANDSLIDE, July/Aug. 2010, at 10, 11 (""The birth of every patent starts out as a trade secret. At the time of conception, the idea or information can only be protected by keeping it secret. However, a subsequent decision needs to be made to determine whether or not to convert the trade secrets . . . into a patent . . . .""). See Marcus Holgersson, Patent Management in Entrepreneurial SMEs:
 88. Finally, it notes some potential limitations of the study and its methodology."
"The Intersection of Patents and Trade Secrets","https://scispace.com/paper/the-intersection-of-patents-and-trade-secrets-1wxiv374eu","2015","","","Michael R. McGurk
Jia W. Lu","","https://scispace.com/pdf/the-intersection-of-patents-and-trade-secrets-1wxiv374eu.pdf","","the later filed patent. I. Introduction: 2. The old joke in chemical arts was to throw your compound on the grass, and if the grass grows, it has utility as a fertilizer, and if it dies, as an herbicide. I. Introduction:
 3. The Supreme Court in recent years has been very active in further developing the metes and bounds of what is considered a threshold issue, and what was for thirty plus years a very sleepy subject. See If the patent application passes review, then the USPTO allows the application to be issued as a patent. The inventor (or company to which the patent is assigned) then enjoys twenty years from the earliest filing or priority date (the so-called ""20 year term"") of exclusive rights to exclude others from making, using, or selling the patented invention.  Patent rights are powerful tools because they may bar even those who independently developed or discovered their invention from practicing their own invention.  Trade secret law, on the other hand, is not so concerned with utilitarianism. Instead, trade secret law is centered on the belief that certain confidential business information of economic value should be protected against theft. Specifically, the purpose of trade secret law is to prevent misappropriation of a party's trade secrets by unfair or commercially unacceptable means. Although trade secret law promotes competition and innovation through its aim to preserve acceptable business practices, this indirect effect has at its core the notion that trade secret law focuses only on the immediate parties involved, and is more akin to tort and contract law than to patent law. I. Introduction:
 Unlike patent law, which is grounded in our U.S. Constitution and based on federal law, there is currently no federal civil cause of action for trade secret misappropriation. Trade secret law always has been, and continues to be, a product of state law. In contrast to patent law, trade secret law covers all forms of information (whether patentable or not). Further, neither application nor registration is needed for trade secret protection, and there is no state agency in charge of reviewing or approving trade secrets. Rather, trade secret law as such covers any information that is secret, valuable, and protected. Trade secrets have no expiration date, and can last as long as the information is kept secret. This could be in perpetuity, over a hundred years, as in the case of the famous Coca-Cola® formula; or a day, in the case of the forgetful scientist who accidentally left his notebook out in the open for all in public to see. Moreover, trade secrets do not protect against independent discovery or reverse engineering by anyone, including your competitors. I. Introduction:
 Despite these significant differences, patents and trade secrets are nonetheless closely intertwined and capable of being used in conjunction to fully protect information. They not only substitute each other in some circumstances, but can also complement each other. Therefore, understanding the origins of patents and trade secrets, the protections they offer, and the legal reach and scope of each enables an inventor or a company to consider and secure the best possible protection for their information. I. Introduction:
 4. Frequently, this concept is incorrectly articulated as a right to make, use, and sell the patented invention. Instead, the right obtained is one of exclusion only, and always subject to other third party rights that could dominate or cover your patented invention."
"The Choice between Formal and Informal Intellectual Property: A Review","https://scispace.com/paper/the-choice-between-formal-and-informal-intellectual-property-3zoj8y2ej5","2014","Journal Article","Journal of Economic Literature","Bronwyn H. Hall
Christian Helmers
Mark Rogers
Vania Sena","10.1257/JEL.52.2.375","https://scispace.com/pdf/the-choice-between-formal-and-informal-intellectual-property-3zoj8y2ej5.pdf","We survey the economic literature, both theoretical and empirical, on the choice of intellectual property protection by firms. Our focus is on the trade-offs between using patents and disclosing versus the use of secrecy, although we also look briefly at the use of other means of formal intellectual property protection.","for the United States, where he found that companies that indicated that patents played no important role were still found to patent the overwhelming share of their patentable inventions. The difference is probably explained by the fact that Mansfield contacted mainly large, established firms. 7:
 One important factor that needs to be considered in evaluating the results of these surveys is the position held by the respondent, especially in large firms, where there is considerable differentiation in areas of responsibility. Many of the surveys of R&D-doing firms are directed to the R&D manager, as in the case of ; the CIS questionnaires do not specify who should fill them out. In contrast to the majority of the surveys,  survey senior IP in-house counsels across a range of industries in the United States. The data collected from IP counsels suggest that the availability of patents has an important positive effect on R&D spending. IP counsels do not think that patents reveal too much valuable information to competitors. Moreover, patents are seen as important instruments to settle IP disputes and avoid litigation. Half of all the respondents to this survey identify patents as the company's most valuable IP asset, and trade secrets are only seen by 12 percent of respondents as a company's most valuable IP asset. Thus, we can safely conclude that the legal departments of firms generally rate patents more highly than either firm CEOs or R&D managers. 7:
 The fact that survey evidence results depend on the choice of respondent tells us that we should be cautious in assigning too much numerical credibility to the shares that result. In particular it may be somewhat misleading to compare across surveys unless the questions and the types of respondents are identical. Nevertheless, without these surveys we would perhaps not have learned the extent to which firms rely on informal methods like lead time, secrecy, product complexity, and sales and service activity to secure returns to their innovative activities, as opposed to formal methods like patents and trademarks. Cross-Country Comparisons:
 Most empirical studies have been conducted on survey data for a single country; while this allows researchers to identify the firms' and industry characteristics that can explain firms' preference for secrecy (or for patents), single country studies do not allow the identification of the characteristics of the patent legislation that can influence this preference. For instance, in countries where the procedure to apply for a patent is very cumbersome, some firms may find the whole process so expensive that they prefer to opt for secrecy to protect their IP (see, for example,  for a historical comparison between Britain and the United States). Some researchers have used cross-country data (or international data surveys) to understand how the national patent legislation can affect the choice between patents and secrecy. We focus here on the PACE survey developed by  on the surveys of Japanese and U.S. firms ."
"The Choice between Formal and Informal Intellectual Property: A Literature Review","https://scispace.com/paper/the-choice-between-formal-and-informal-intellectual-property-2vklkj3l1n","2012","Report","Social Science Research Network","Bronwyn H. Hall
Christian Helmers
Christian Helmers
Mark Rogers
Mark Rogers
Vania Sena","10.3386/W17983","https://scispace.com/pdf/the-choice-between-formal-and-informal-intellectual-property-2vklkj3l1n.pdf","We survey the economic literature, both theoretical and empirical, on the choice of intellectual property protection by firms. Our focus is on the tradeoffs between using patents and disclosing versus the use of secrecy, although we also look briefly at the use of other means of formal intellectual property protection.","enough if products embody inventions protected by other means than patents, which remain unobserved to the researcher. This makes the set-up that Moser uses for her study so valuable because the choice of protection mechanisms is limited for largely exogenous reasons. Invention-level evidence:
 Having said that,  emphasizes that the evidence obtained from historical data has to be interpreted with care if the objective is to translate the findings into today's world. The patenting landscape has undoubtedly become more complex in recent years as the range of technologies has expanded, especially in areas where the format of patent rights appears to fit rather poorly. An example is the large increase in the number of patent filings in electrical engineering, especially telecommunication and computer technologies, and the difficulty of delineating patents from each other, which has contributed to the emergence of patent thickets in these technologies (von . Evidence from legal changes:
 The literature offers a third approach to the problem of estimating empirically the impact of the effectiveness of the different appropriation mechanisms on companies' choices and performance.  provides an example of analysis of the impact of secrecy on R&D and the choice between patenting and secrecy without having survey information on a firm's innovative activities or self-reported use of formal and informal IP. He uses the NBER Compustat Patent dataset, which contains firm-level data for all publicly traded companies in the U.S. manufacturing sector, to assess the impact of a strengthening of legal protection of trade secrets through enactment of the Uniform Trade Secrets Act (UTSA). Png finds that enactment of the UTSA is associated with an average drop of 2.4 per cent in R&D among manufacturing firms. However, the figure disguises important heterogeneity across sectors. Whereas the drop is even more pronounced for the medicinal chemicals and botanicals sector (-4.2 per cent), as well as the computer terminals industry (-4.7 per cent), Png does not find an impact in relatively more R&D intensive industries such as pharmaceuticals and computer communications equipment. The results are interpreted as suggesting that own R&D and knowledge spillovers are complements, i.e., an increase in the use of secrecy leads to a decrease of spillovers which leads to a net decrease in R&D given the complementarity of spillovers with own R&D efforts. Png also analyzes the effect of the strengthening of legal trade secret protection on firms' patent filings, but finds overall no discernible impact. However, he finds some evidence that it reduced patenting in sectors in which patents are effective in protecting process innovations. Png interprets these findings as evidence for firms filing patents mostly for strategic reasons, rather than to appropriate returns to an innovation."
"Approaches to Protection of Undisclosed Information (Trade Secrets)","https://scispace.com/paper/approaches-to-protection-of-undisclosed-information-trade-5dfza6l3a6","2014","Report Series","Research Papers in Economics","Mark F. Schultz
Douglas Lippoldt","10.1787/5JZ9Z43W0JNW-EN","https://scispace.com/pdf/approaches-to-protection-of-undisclosed-information-trade-5dfza6l3a6.pdf","This paper takes stock of the available legal protection for trade secrets (undisclosed information) in a broad sample of countries. Drawing on national and international material, the paper develops and presents an indicator of the stringency of protection of trade secrets (the Trade Secrets Protection Index) and provides an assessment of variation in the available protection. The result is a finding that while the sample countries have some similarities, notably with respect to definition and scope of trade secrets, they have many more substantial dissimilarities with respect to implementation of protection for trade secrets. For example, differences are particularly pronounced in evidence gathering and discovery, protection of trade secrets during litigation, technology transfer requirements and the effectiveness of legal systems with respect to enforcement. This diversity is reflected in the wide range of scores in the Trade Secrets Protection Index. Such variation in the stringency of protection for trade secrets may influence firm-level decision-making and may have implications for some aspects of economic performance (in particular, in relation to innovation).","available on-line at the following location (as of 3 April 2013): http://www.whitehouse.gov/sites/default/files/omb/IPEC/admin_strategy_on_mitigating_the_theft_of_u .s._trade_secrets.pdf. Patent Versus Trade Secrets Protection:
 There is an extensive body of literature on the trade-offs between patents and trade secrets at both the institutional and firm level. Pooley (1997, 2012 update, pp. 32-40), for example, offers advice to firms wishing to protect their intellectual assets in which he highlights differences in protection between patents and trade secrets. He notes that often the nature of the asset provides a clear indication of the appropriate protection. Patents generally offer protection for specific technological inventions that are useful, novel and non-obvious. The patent process can be time consuming and expensive, requiring public disclosure of the idea. But, within the bounds of strictly defined claims, once a patent is issued, it offers the prospect of market exclusivity for a specific period. Trade secret protection is generally available for a broad range of commercial information that is useful and not widely known, but need not be novel. The broad scope covers subject matter that may not be patentable such as know-how. Provided appropriate efforts are made to ensure secrecy, trade secrets offer the possibility of protection without a limitation on duration, though not against independent discovery by a competitor or inadvertent disclosure by the owner.  Nonetheless, in many instances the innovators seeking protection for an idea face a choice in the type of protection they will seek. Patent Versus Trade Secrets Protection:
 The choice of protection can have social welfare implications. On the one hand, as Friedman et al. (1991) point out, patents offer the social welfare advantage of encouraging disclosure with all the positive spillover effects that may result. On the other hand, Cugno and  Ottoz (2006) offer a model where trade secrecy is more socially optimal, because of the independent invention defence, which exists at all times with respect to a trade secret, but is either limited or non-existent in patent law.  As a result, trade secret owners may have fewer opportunities to charge supra-competitive prices."
"Why Do Start-Ups Patent","https://scispace.com/paper/why-do-start-ups-patent-3a38wzfhbm","2008","Journal Article","Berkeley Technology Law Journal","Stuart J.H. Graham
Ted M. Sichelman","10.15779/Z38M111","https://scispace.com/pdf/why-do-start-ups-patent-3a38wzfhbm.pdf","Author(s): Graham, Stuart; Sichelman, Ted | Abstract: Numerous scholars have proposed many different explanations for why inventors and innovative companies patent. Few scholars, however, have conducted empirical studies seeking to confirm or deny these theories. Furthermore, there are only a handful of studies examining how entrepreneurs and start-up companies use and are affected by the U.S. patent system, and none answers the question presented in our title.We first briefly survey the dominant theories of why innovators file for patents and why they forgo patenting, focusing on how well, if at all, these theories apply to start-up companies. Next, we examine the existing empirical data on the topic and find it generally inconclusive.Last, we describe the 2008 Berkeley Patent Survey, the first survey in the United States examining patents and entrepreneurship, which is currently underway at the direction of the authors and other investigators. In particular, we discuss the survey questions designed to answer why entrepreneurs and start-ups patent (or choose not to do so) and offer some hypotheses based on previous research.","these forms of IP protection outweighs the marginal costs. Although, as we noted earlier, these calculations can be tricky, a rational company should not forgo patenting simply because it believes that trademarks, copyrights, or contractual protections are sufficient in themselves. Other Legal Protection:
 On the other hand, patents and trade secrets, at least by design, cannot simultaneously protect an invention.  In theory, patent publication will destroy any trade secret the patentee has in the invention. In practice, however, because the enablement and written description requirements are weak, and the related ""best mode"" requirement is vague and hard to prove violation of in court, a patentee may often be able to patent an invention and keep its ""secret sauce"" a trade secret. 110 Thus, the stark contrast that some scholars present between these two options is often much fuzzier.  Of course, if a company strongly desires to keep all aspects of its invention secret, and believes it can do so, it will not patent.  See Cohen & Lemley, supra note 104, at 13, 39.  See Stuart J.H. Graham & Deepak Somaya, Vermeers and Rembrandts in the Same Attic: Complementarity between Copyright and Trademark Leveraging Strategies in Software (Feb. 2006) (unpublished manuscript on file with Ga. Inst. of Tech. TI:GER working paper series), available at http://tiger.gatech.edu/files/gt_tiger_complementary.pdf.  See, e.g., LANDES & POSNER, supra note 25, at 294-95; Dan L. Burk, Misappropriation of Trade Secrets in Biotechnology Licensing, 4 ALB. L.J. SCI. & TECH. 121, 130 (1994) (""For those inventions that are patentable subject matter, concurrent patent protection and trade secret protection are incompatible because the disclosure required by the patent destroys trade secrecy."").  For instance, both patents and trade secrets were used by Pilkington Glass to protect codified and tacit elements of the firm's ""float glass"" invention, a radical improvement in creating smooth glass. See United States v. Pilkington, PLC, No. CV 94-345, 1994 WL 750645 (D. Ariz. Dec. 22, 1994). Moreover, applicants may enjoy trade secrecy while a patent application is pending, providing the applicant both priority advantages and the protection of trade secrecy before publication. See Graham & Somaya, supra note 108.  See Graham & Somaya, supra note 108."
