"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Abstract","Relevant Excerpt"
"Trade Dress Protection of Product Designs: Stifling the Progress of Science and the Useful Arts for an Unlimited Time","https://scispace.com/paper/trade-dress-protection-of-product-designs-stifling-the-2nngvowqol","1999","Journal Article","Notre Dame Law Review","Anthony E. Dowell","","https://scispace.com/pdf/trade-dress-protection-of-product-designs-stifling-the-2nngvowqol.pdf","","secrets into three categories: 1) a trade secret the inventor knows is not patentable; 2) a trade secret the inventor believes may or may not be patentable; and 3) a trade secret the inventor believes is patentable. E. Later Cases -The Narrowing of Sears and Compco:
 In the first case, abolishing trade secrets would not lead to disclosure of an invention the inventor knows is not patentable. The inventor would still have no incentive to file a patent application which would ultimately be rejected. Instead, trade secret laws protect inventions that could not otherwise be exploited. An inventor could not license a secret or efficiently work with employees if the licensee and employee could not be bound to secrecy. Therefore, trade secret protection of inventions that do not meet the standards of patentability offers a benefit without detracting from the patent policy of disclosure.  In the second case, abolishing trade secrets might lead to disclosure of inventions of doubtful patentability. However, many disclosures would lead to rejection by the PTO. In these cases, 125 See id. at 480-81. The Court discussed the policies of promoting invention and disclosure and then stated: ""The Court has also articulated another policy of the patent law: that which is in the public domain cannot be removed therefrom by action of the States."" society would be temporarily denied the benefits of the licensing of the invention. Also, even if a patent is granted, the patent could ultimately be invalidated in court. Because of the problems associated with patents of doubtful validity, the Court saw no reason to encourage their disclosure.'  In the third case, the Court struggled with the danger of discouraging disclosure of clearly patentable inventions by allowing trade secret protection. The Court noted that it would be compelled to preempt the state law if it created a ""substantial risk"" that inventors would not seek patents for patentable inventions.' However, the Court found that trade secret law did not create such a risk because of the limits of trade secret protection. First, trade secret law does not protect against independent creation or reverse engineering. Second, a trade secret holder may be unable to discover or prove theft of a trade secret or breach of a confidentiality agreement. Therefore, because of these inadequacies in trade secret protection, the possibility that the holder of a patentable invention would forgo patent protection ""is remote indeed."" 3 ' Because trade secret law was not a realistic alternative 129 Id. at 487-89. 130 Id. at 489. 131 Id. at 490. The Court gave little weight to a major advantage of trade secret protection over patent protection-perpetual protection. In apparent response to this benefit of trade secrets, the Court noted that the ""rare inventor"" who chose trade secret protection would not likely impede technological progress. ""The ripeness-of-time concept of invention, developed from the stud) of the many independent multiple discoveries in history, predicts that if a particular individual had not made a particular discovery others would have, and in probably a relatively short period of time."" Id."
"Uncovering Trade Secrets - An Empirical Assessment of Economic Implications of Protection for Undisclosed Data","https://scispace.com/paper/uncovering-trade-secrets-an-empirical-assessment-of-economic-4kv5ufh2qr","2014","Report Series","Research Papers in Economics","Douglas Lippoldt
Mark F. Schultz","10.1787/5JXZL5W3J3S6-EN","https://scispace.com/pdf/uncovering-trade-secrets-an-empirical-assessment-of-economic-4kv5ufh2qr.pdf","This paper takes stock of the protection of trade secrets for a sample of 37 countries, provides historical data for the period since 1985, and considers the relationship of the stringency of the protection of trade secrets to relevant economic performance indicators. The paper finds that there has been a notable increase in the stringency of trade secrets protection in a broad sample of countries during the period from 1985 to 2010. The paper also finds a positive association between the stringency of trade secrets protection and key indicators of innovation and international economic flows. Further details of the methodology and additional country data can be found in the background paper provided in phase I of the OECD trade secrets project [OECD Trade Policy Paper No. 162].",". In addition, firms in different sectors or employing different technologies may respond differently to the availability of particular types of protection. Thus, trade secrets protection may have economy-wide effects as well as sector or technology-specific effects in relation to FDI or trade. 11:
 In terms of the interaction with alternative forms of intellectual property rights, there is a clear potential relationship to patent protection. As noted above, firms that depend on patent protection may tend to rely on trade secrets protection during the developmental stage of the technology . However, in some specific cases of technological innovation, firms may forgo patent protection entirely and rely exclusively on trade secrets protection. For example, this may be the case with process innovation where the resulting product is difficult to reverse engineer. The effect may depend on practical aspects of protection under each form of protection. 13 As a legal matter, not all inventions or information that can be kept secret are patentable. In terms of release of a product on the market, not all patentable aspects of the innovations that it may embody can be kept secret, which is a requirement for trade secret protection. 11:
 Getting a handle empirically on the effects of trade secret protection is challenging due to the very nature of trade secrets as being secret by definition. In addition, firms are reluctant to report trade secret theft. Even where there are legal actions, the civil litigation and criminal prosecution rates could have a variety of meanings. A lack of litigation could mean that the law is effectively deterring abuses or that trade secret owners or prosecutors view the law as ineffective and legal action as futile. Similarly, high rates of litigation could signal widespread disrespect for the law by defendants or confidence on the part of plaintiffs and prosecutors. In order to take a step towards untangling the economic implications of such issues, the quantitative assessment that follows will consider the relationship between the stringency of trade secrets protection and certain key economic indicators. 11:
 In light of the costs of continued abuse of trade secrets, a number of OECD Members have initiatives underway to address concerns about uncertainty or gaps in protection. With respect to some dimensions of protection, these initiatives seek to harmonise and develop minimum standards. For some stakeholders, the motivation for such reforms is a goal of reducing the complexity of managing trade secrets protection across international boundaries and promoting market opening effects in cases where businesses are currently precluded entry due to vulnerability of their operations to trade secrets abuse. 14 Two notable efforts currently underway concern the European Union and the United States. In the case of the European Union, the European Commission launched in November 2013 a draft directive intended to help harmonise key aspects of civil law protection across the EU Member countries. The directive would provide for a common definition of trade secrets; means through which victims of trade secret misappropriation could obtain redress (e.g. offering protection of secrecy during court proceedings); and remedies (e.g. damages, recall and destruction of infringing products, and availability of injunctions). 15 In 2013, the United States released the ""Administration Strategy on Mitigating the Theft of US Trade Secrets"", which included a set of action items for improved This is part of a larger discussion in the literature concerning approaches used by firms and others to appropriate returns on their investments and innovations. For example, see:  and , among others."
"Empirical Study of Patent Protection Rights on Corporate Revenues of International Seed Companies","https://scispace.com/paper/empirical-study-of-patent-protection-rights-on-corporate-gh7nyx1r00","2021","Proceedings Article","","Yao Tan","10.2991/AEBMR.K.210319.109","https://scispace.com/pdf/empirical-study-of-patent-protection-rights-on-corporate-gh7nyx1r00.pdf","","Title: Empirical Study of Patent Protection Rights on Corporate Revenues of International Seed Companies Authors: Yao Tan (Corresponding Author) Keywords: Seed, Patent, Corporate, Revenue"
"Trade secret misappropriation: a lawyer's practical approach to the case law","https://scispace.com/paper/trade-secret-misappropriation-a-lawyer-s-practical-approach-2d0um8ucux","1978","Journal Article","Western New England law review","Michael J. Hutter","","https://scispace.com/pdf/trade-secret-misappropriation-a-lawyer-s-practical-approach-2d0um8ucux.pdf","","In the first place, the patent application requires full disclosure of all the essential features of the item for which protection is sought. 15 8. R. MILGRIM, TRADE SECRETS § 8.02 . Unlike patent protection, "": [t]rade secret protection is theoretically perpetual in duration but the actual length of protection depends upon success in keeping it secret, and it is subject to being lost by independent discovery or other fair means of obtaining the secret, or because the owner otherwise cannot hold another liable for the disclosure or use of a trade secret in numerous situations. OPPENHEIM & WESTON, supra at 318. One commentator has cited these examples of longevity: H[F]ormulas for the mixing of ingredients for cymbals (336 years in the Zildjian family) or aromatic bitters (Angostura-Wupperman) or Eau de Cologne ('No. 4711' made by generations of the Muelhens family in Cologne) or Smith Brother's Black Cough Drops (said to be over 100 years old)."" Klein, The Technical Trade Secret Quadrangle: A Survey, 55 Nw. U.L. . Added to this list should be the formula for Coca-Cola which has never been duplicated. See As to the possibility of securing protection under the Copyright Act, 17 U.S.C. § § , see H. HOWELL, THE COPYRIGHT LAW passim (3d ed. 1952); . Suffice it to say that it is highly improbable that confidential business information would be afforded copyright protection. Comment, Industrial Espionage: Piracy of Secret Scientific and Technical Information, 14 U.C.L.A. L. . 9. 35 U.S.C. § 101 (1970). Thus, for example, in In re , an applicant was denied a patent on the ground that Ha system of transacting business, apart from the means for carrying out such system, is not within the purview of [35 U.S.C. § 101], nor is an abstract idea or theory, regardless of its importance or the ingenuity with which it is conceived . . See also This requirement may be particularly damaging because the patented matter is deemed dedicated to the public when the patent expires. is In contrast, trade secret protection is theoretically perpetual. 17 Second, patent infringement suits are costly18 and it is generally recognized that these suits frequently end with declaration of patent invalidity. Trade secret plaintiffs are more often successful. 20 Finally, the Supreme Court has held that a licensee of a patent who successfully challenges the validity of his licensor's patent is not liable for contract royalties, even if the subject of the patent was secret at the time of the contracting. 21 On the other hand, the case law seems clear in upholding the rights of a licensor of a trade secret to the bargained for royalty despite the fact that the subject matter of the trade secret has become public knowledge. 22 Consequently, more and more firms are opting for trade secret law in order to protect their confidential information. 23 Thus, it appears that more and more lawyers previously unfamiliar with trade secrets will come into contact with this body of [Vol. 1:1 law. Although many states have enacted statutes which make it a crime to appropriate trade secrets,24 and certain federal statutes, such as the National Stolen Property Act,25 the Mail Fraud Statute,26 the Federal Communications Fraud Statute,27 and section 5 of the Federal Trade Commission Act 28 may sometimes be employed against trade secret theft, the practitioner will in most cases be retained to bring or defend a civil action involving the alleged misappropriation of trade secrets. This"
"Symposium Keynote: The DTSA and the New Secrecy Ecology","https://scispace.com/paper/symposium-keynote-the-dtsa-and-the-new-secrecy-ecology-4fgxhn494d","2017","","","Orly Lobel","","https://scispace.com/pdf/symposium-keynote-the-dtsa-and-the-new-secrecy-ecology-4fgxhn494d.pdf","The Defend Trade Secrets Act (“DTSA”), which passed in May 2016, amends the Economic Espionage Act (“EEA”), a 1996 federal statute that criminalizes trade secret misappropriation. The EEA has been amended several times in the past five years to increase penalties for violations and expand the available causes of action, the definition of a trade secret, and the types of behaviors that are deemed illegal. The creation of a federal civil cause of action is a further expansion of the secrecy ecology, and the DTSA includes several provisions that broaden the reach of trade secrets and their protection. This article raises questions about the expansive trajectory of trade secret law and its relationship to entrepreneurship, information flow, and job mobility. Lobel argues that an ecosystem that supports innovation must balance secrecy with a culture of openness and exchanges of knowledge. 1 Lobel: DTSA New Secrecy Ecology Published by University of Missouri School of Law Scholarship Repository, 2017 370 B.E.T.R. [Vol. 1 2017","understand that any trade secrecy regime has trade-offs within itself: one must be cautious that the benefits of enhanced protections, warnings, monitoring, litigation, prosecution, and enforcement are not outweighed by the costs of chilling valuable innovation, exchanges, and collaboration. A. Trade Secrecy and Innovation Policy:
 Given their expansive, open-ended definition, trade secrets are the broadest type of intellectual property.  of their ""do-it-yourself"" nature, which does not require application or registration, trade secrets do not come with a disclosure or enablement requirement like patent law.  Also, their duration is potentially the longest: as long as they remain secret, the protection continues.  In other words, trade secrets can include nearly any type of information and remain a secret forever. On the other hand, trade secrets have always been considered a weak form of protection. In 1974, in Kewanee Oil Co. v. Bicron Corp., the Supreme Court upheld a state trade secrecy law against a preemption challenge by the federal patent act.  The Court reasoned that trade secret law would not take knowledge out of the public domain because trade secrets are weak forms of protection and, when possible, companies would opt to patent their inventions instead.  The Court stated that trade secrets are so vulnerable to discovery that ""[t]he possibility that an inventor who believes his invention meets the standards of patentability will sit back, [and]  to be true today. Current trade secrecy protection often acts as a substitute for patents.  The stronger the protection, the greater the temptation to rely on trade secret law rather than patent law.  Both the strengthening of trade secret law and the uncertainty about patent eligibility of certain biotechnologies, business processes, and software inventions may lead today's firms to rely more heavily on trade secret laws.  This raises a red flag: since trade secret laws do not require disclosure of the technical details of an invention, and protections are now strong both on the civil and criminal side, the traditional balance struck in intellectual property law may be disrupted. A. Trade Secrecy and Innovation Policy:
 The disruption of this delicate balance brings new risks. new secrecy ogy, including the broad reach and expansive scope of the DTSA, can alter innovation environments in ways that chill scientific and technological progress. Because they are secret in nature, empirical research on trade secrets has been inherently difficult to conduct. Therefore, it is difficult to study the effects of recent policy changes on private innovation, and any reform must proceed with caution. And yet, as is discussed in the following section, many recent empirical studies provide indications of these risks, highlighting the effects of diminishing job mobility on economic growth, entrepreneurship, and the flow of knowledge. B. Talent Mobility and the Inevitable Disclosure Doctrine:
 secret law has a tripolar identity, embodying characteristics of statutory, tort, and contract law. It is a pillar of intellectual property, a type of tort of unfair business practices, and a relational contractual moderator. In effect, trade secret laws regulate the relationship between employers and employees. As Professor Dennis Crouch of the University of Missouri School of Law stated, because trade secrecy disputes most commonly involve former employees, the DTSA becomes ""a shoe horn for contract and employment law claims.""  The misappropriation component becomes a question of interpreting the duties that shaped the contractual relationship."
"Is US Patent Policy Strong Enough to Withstand the Winds of Change: A Study of the Need to Change United States Patent Policy","https://scispace.com/paper/is-us-patent-policy-strong-enough-to-withstand-the-winds-of-2qfytpcmac","2015","Journal Article","","Kent R Acheson","10.19080/OMCIJ.2015.01.555551","https://scispace.com/pdf/is-us-patent-policy-strong-enough-to-withstand-the-winds-of-2qfytpcmac.pdf","The purpose of this case study was to learn how US patent policy requirements differ for the Software and Pharmaceutical Industries, specifically if United States Patent Policy adequately protects intellectual property rights [1] for two divergent industries while still encouraging research and development (R & D) investment sufficient to increase profits and innovation. Data for this study consisted of 38 witness testimonies delivered to US Congress between the years 2005 and 2010 by experts representing the two industries of interest: pharmaceutical and software. Key findings from the data analysis of these 38 testimonies revealed both within industry differences and between industry differences in patent law protection. Within industry differences showed variance based on size of the company and the degree to which they relied on their own R & D. Between industry differences reflected divergent ‘products’ with Pharmaceutical Industries needing long-term protection to recover R & D expenditures that include expenses for human trials research to proceed from patent application to market. Software industry, on the other hand, uses follow-on innovation of others to continue technological advancement by constantly improving upon existing software. The data show that these two industries use patent policy protection in different ways for different reasons. This information will enable Policymakers to develop another form of product protection in lieu of the current patent law to better meet the needs of these two industries rather than try to modify the existing law.","Property Rights (IPRs) and encouraged investment research and development (R&D). The qualitative case study was the most suitable approach to study the issues and answer the research questions because it explored real-life experiences of industries looking to patent Intellectual Property (IP). Data and Sample Statistics:
 Data were collected and analysis began using the Content Analysis Guide developed for this study. The testimonies of the BSA representatives, other computer software witnesses, Computing Technology Industry Association, PhRMA representatives, other generic pharmaceutical representatives, and the Generic Pharmaceutical Association, Biotechnology Industry Association (BIO), Intellectual Property Owners Association (IPO) , and venture capital organizations were included in this study. The IPO was included because IPO members represent 30% of patent applications at the USPTO and include members from the Software and Pharmaceutical Industries, among others. The study included Venture capitalists because some members of BSA  and other smaller software companies began with venture capital dollars. Each data point was examined for inclusion of any reference to R&D, including duration and support for R&D, the need for patent protections , and future needs for patent policy. Data and Sample Statistics:
 The 38 documents submitted to the congressional hearings were analyzed. Documents relating to software and pharmaceutical companies reviewed were not ambiguous but very clear and straight forward following a consistent format, so that anyone conducting another study would reach the same conclusions. They all stated who authored the document, who the document represented, who presented opinion to Congress, their position on the patent reform act, and agreements and disagreements with specific points of the patent reform act. Data and Sample Statistics:
 No ambiguity existed and no information required subjective judgments to interpret the information reported. The nature of the data supported the reliability of the findings."
"Connecting standardization, patenting and strategic publishing in the framework of firms’ innovation and intellectual property management","https://scispace.com/paper/connecting-standardization-patenting-and-strategic-2kgaxhsq2m","2014","Dissertation","","Julius Rauber","10.14279/DEPOSITONCE-4237","https://scispace.com/pdf/connecting-standardization-patenting-and-strategic-2kgaxhsq2m.pdf","Deutsch) i Abstract (English) vEnglish) v Publication and Submission Record ix","restrains to compare patents to other formal and informal instruments to protect the exclusivity of knowledge, while standardization is not seen as proper option in this framework. Therefore, future theoretical research papers should create a basis of literature for this integrated area of research. Limitations and Further Research:
 Another issue of this dissertation is the level of analysis in the parts three and five. While the theoretical and conceptual considerations about the relationship between patenting and standardization (part three) as well as patenting, secrecy and strategic publishing (part five) are conducted on the invention level, the empirical analyses are undertaken on the firm level. While it is assumed that firms' behavior regarding single inventions can be expected to represent firms' strategy on the firm level due to the law of large numbers, some empirical research on the invention level is necessary to proof this assumption. Especially the connection between the technical know-how in patents and the knowledge of firms that is integrated in standards has to be analyzed more deeply, maybe also in form of case studies. However, I can tell about the difficulties gathering this kind of data from my own experience in the course of this dissertation. Limitations and Further Research:
 Finally, I hope that the reader of this dissertation enjoyed and got some first insights of the fascinating relationship between different instruments to cope with IP and the various possibilities in the framework of firms' innovation management. Also, it would be great if this work motivates further studies on this topic and helps to foster the development of innovation management research."
"Constraints on gene patent protection fuel secrecy concerns: A qualitative study","https://scispace.com/paper/constraints-on-gene-patent-protection-fuel-secrecy-concerns-2j1kirrkh3","2017","Journal Article","Journal of Law and the Biosciences","Christi J. Guerrini
Amy L. McGuire
Mary A. Majumder
Juli Bollinger
Juli Bollinger
Paul J Rowan","10.1093/JLB/LSX034","https://scispace.com/pdf/constraints-on-gene-patent-protection-fuel-secrecy-concerns-2j1kirrkh3.pdf","Concern is mounting that innovators are responding to recent changes in patent eligibility by increasingly choosing to protect their discoveries as trade secrets. Due to the clandestine nature of trade secrets, it is impossible to quantify the extent to which innovators actually elect to protect their inventions as trade secrets rather than patents. Nevertheless, interest in each strategy may be gauged through qualitative means. We conducted semi-structured interviews of legal and scientific experts (n = 30) to understand the effect of recent patent eligibility changes on interest in patenting and trade secrecy of genetic innovations. Interview data indicate that secrecy may have increased in strategic appeal relative to patent protection in some areas of genetic innovation, although the actual election of secrecy strategies is often limited as a practical matter. The data also suggest that the burden of navigating the new intellectual property landscape may be falling disproportionately on those who translate gene-based discoveries into clinical applications. Some interviewees expressed concern about the normative implications of secrecy on advancements in and access to genetic medicine. Our findings are potentially relevant to policy proposals intended to restore some of the legal protection that was lost as a result of recent changes to patent eligibility, including amending the federal patent statute and expanding regulatory exclusivities for some genetic technologies.","strategies with clients. In any event, patent practitioners are uniquely positioned to understand the impact of legal changes on their clients' business strategies and so we believed that it was imperative to include their perspectives and predictions, although we recommend caution in their evaluation. IV. DISCUSSION:
 Fourth, the number of scientists who participated in the study was approximately half the number of patent practitioners and legal academics. As a result, the data we obtained from scientists may be less diverse than data from the other interview populations. The pool of scientists satisfying inclusion criteria, however, was uniquely constrained by the requirement of public evidence of strong familiarity with a specific patent doctrine. Because activity in patent jurisprudence is outside the usual scope of scientific efforts, we had difficulty not only recruiting scientists for the study, but also identifying those whom to recruit. IV. DISCUSSION:
 Fifth, the interviews excluded some populations, including technology transfer officers and non-scientist corporate executives, who might have provided additional insight into the subjects probed. A key objective of the study, however, was to identify diverse experiences and opinions within each population selected for interviewing. IV. DISCUSSION:
 Limited resources to accomplish this objective required us to narrow the number of interviewee populations. IV. DISCUSSION:
 Sixth, other changes to patent law occurred contemporaneously with the shift in interpretation of the patent eligibility doctrine. Most notably, the America Invents Act created new avenues for challenging issued patents before the Patent Office, and some of them permit challenges on Section 101 grounds.  Although petitions for these kinds of proceedings comprise less than 10% of all post-grant review petitions,  patents can be invalidated on other grounds,  and the expansion of opportunities to do so may be responsible, wholly or in part, for any rise in interest in trade secrecy. IV. DISCUSSION:
 Finally, the data are a reflection of the legal landscape that existed when each interview was conducted. During and after the interview period, that landscape to shift in important ways. First, in May 2016, Congress passed the Defend Trade Secrets Act (DTSA), which for the first time recognizes a federal cause of action for trade secret misappropriation.  The DTSA strengthens the trade secret right by bringing uniformity to it and allowing trade secret holders to strategically bring both state and federal misappropriation claims, thereby increasing the chances of litigation success.  The law was enacted late in the study and so was not probed, but it seems fair to assume that if the DTSA has impacted the patent-trade secret calculus for genetic innovators, it has tipped the scales further in favor of trade secrecy.  Meanwhile, the courts have continued to grapple with application of the new eligibility test. In June 2016, the U.S. Supreme Court declined to hear Ariosa v Sequenom, in which a non-invasive method for detecting fetal abnormalities was held to be ineligible subject matter despite having transformed the field.  Many patent practitioner interviewees had hoped that the Court would take the case as an opportunity to clarify the eligibility test in a manner favorable to pro-patent interests. Its refusal to do so was surely met with disappointment. IV. DISCUSSION:
 On the other hand, beginning in May 2016, the federal appellate patent court has rejected Section 101 challenges in a series of precedential decisions.  If the U.S. Supreme"
"Open Source Projects as Horizontal Innovation Networks - By and for users","https://scispace.com/paper/open-source-projects-as-horizontal-innovation-networks-by-4c22bjpd4m","2003","Journal Article","Social Science Research Network","von Hippel
A Eric","10.2139/SSRN.328900","https://scispace.com/pdf/open-source-projects-as-horizontal-innovation-networks-by-4c22bjpd4m.pdf","Innovation development, production, distribution and consumption networks can be built up horizontally - with actors consisting only of innovation users (more precisely, ""user/self-manufacturers""). ""Free"" and ""open source"" software projects are examples of such networks, and examples can be found in the case of physical products as well. User innovation networks can function entirely independently of manufacturers when (1) at least some users have sufficient incentive to innovate, (2) at least some users have an incentive to voluntarily reveal their innovations, and (3) diffusion of innovations by users is low cost and can compete with commercial production and distribution. When only the first two conditions hold, a pattern of user innovation and trial and improvement will occur within user networks, followed by commercial manufacturer and distribution of innovations that prove to be of general interest. In this paper we explore the empirical evidence related to each of these matters and conclude that conditions favorable to user innovation networks are often present in the economy.","by the innovating firm. studied data on royalty payments submitted by some U.S. corporations to the U.S. Securities and Exchange Commission in 1971 on Form 10K. He too, found corporate returns from licensing to be generally low. General impracticality of licensing and trade secrecy:
 The low returns from the licensing of patented knowledge found by Taylor and Silberston and by Wilson could in principle be caused either by weakness in protection afforded by patents or by a patent licensor or licensee disinclination to license. Other research suggests that the correct interpretation is that protection afforded by the patent system is itself generally weak, and that innovators in most fields probably could not expect to benefit from licensing their patented knowledge even if they chose to do so. A study by  found only eight of thirty seven respondents (""executives responsible for 5 In the United States, utility patents may be granted for inventions related to composition of matter and/or a method and/or a use. They may not be granted for ""ideas per se, mathematical formulas, laws of nature, and anything repugnant to morals and public policy."" Within subject matters potentially protectable by patent, protection will be granted only when the intellectual property claimed meets additional criteria of usefulness, novelty and nonobviousness to those skilled in the relevant art. Trade secrecy law is an alternate form of protection applicable to innovations that can be kept secret. Trade secrets can in principle be licensed to others that will maintain the secret status of the information revealed to them under license. However, licensing trade secrets is often impractical. The owner must at least partially reveal the secret to potential buyers so that they may evaluate their potential purchase. This incurs the risk of the secret becoming widely known, thus losing both its status as a trade secret and it's value to a potential licensee. In the special case of software innovations (considered a form of ""writings"") copyright protection is applicable and widely used. General impracticality of licensing and trade secrecy:
 technical change"") reporting that patents were `very important' to their companies . This result is especially interesting because Scherer selected his sample only from the firms which presumably value patents most highly -those which hold a large number of them. A similar finding was reported by , who report that 24 of the 32 responding firms said that 5 percent or less of recent R&D expenditures would not have been undertaken if patent protection had not been available (ibid, p. 30).  conducted a survey of 650 R&D executives in 130 different industries, and found that all except respondents from the chemical and pharmaceutical industries judged patents to be ""relatively ineffective."" Similar findings are reported by  and reaffirmed by ."
"The Criminalization of the Theft of Trade Secrets:An Analysis of the Economic Espionage Act","https://scispace.com/paper/the-criminalization-of-the-theft-of-trade-secrets-an-4h96ix5kjh","2012","","","Nicola Searle","","https://scispace.com/pdf/the-criminalization-of-the-theft-of-trade-secrets-an-4h96ix5kjh.pdf","This paper presents a law and economics assessment of how the elevation of the theft of trade secrets from civil malfeasance to a felony affects the incentives for both firms and potential thieves The paper begins with theoretical analysis of the EEA and concludes with an empirical assessment of prosecutions under the EEA In comparison to penalties used in civil cases, the new incentive of a criminal deterrent to trade secret theft introduces severe consequences, such as incarceration as a form of punishment4 Additionally, the criminalization of trade secrets plays into the property versus liability debate When confronted with a theft of trade secrets, a firm must decide whether to seek legal recourse and, if so, whether recourse should be criminal and/or civil However, the financial damages assessed in EEA criminal cases can be compared to civil cases, and are found to be lower","2 social bene ts by encouraging innovation. Further empirical investigations on the effects of the EEA should shed more light on this fact. Whether the EEA's criminalization of the theft of trade secrets is entirely inappropriate remains to be seen. Empirical Analysis of the EEA:
 To move from theoretical analysis to the empirical investigations of the EEA, we turn to the EEA prosecution data. During the period covered by this essay (1996-2008), there were 147 defendants in 95 cases involving the EEA. For this research, these cases have been identi ed using the Public Access to Court Electronic Records (PACER) system. Once identi ed, each case was then investigated via docket reports, court documents, and online media coverage. Further information was gathered from academic essays related to the EEA.  Depending on the court, of cial documents are only available from more recent cases; in some courts, the documents are only available for cases since 2004. For a minority of cases, little to no information on the victim company and stolen information was available. The information gathered in this prosecution data represents a unique look into the use of trade secrets, their theft, and the policy choices available to governments. Data Challenges:
 The use of prosecution data faces a number of challenges and the EEA data are no exception. The primary obstacle is that of adverse selection. Prosecutors select cases based on the severity of the crime and the likelihood of successful prosecution. Prosecutors are also more likely to seek prosecution in cases where the evidence is strong and a conviction is likely as the burden of proof in criminal cases has a ""tougher criterion than in one used in civil disputes.""  Furthermore, victims must  rst report the alleged crime to the FBI via an of cial document reporting the offense.  As Nasheri notes, ""Probably the greatest reason why trade secret theft is not prosecuted more often is the failure of victim companies to report such thefts to government authorities.""  The cumulative effect of these challenges to the use of prosecution data is that conclusions arising from the data are tempered by the inherent sample bias. Despite this, it is important to remember that, given the nature of trade secrets, very little empirical data are available on their use. Economists have long used evidence from litigation to investigate the use of patents and their economic importance.  The use of patent litigation evidence can be found in Lanjouw and Schankerman,  Schankerman and Scotchmer,  and Jaffe and Lerner.  As such, the EEA prosecution data are a legitimate means of analysis and offer a glimpse into the unseen world of trade secrets. The empirical analysis of EEA data developed throughout this essay furthers the understanding of the strategic use of trade secrets as a means of protecting innovation and builds on the similar existing litigation studies in patents. This essay joins Zwillinger and Genetski,  Lerner 78 and Almeling et al.  in the use of court data to understand trade secrets. Defendants:
 From its inception in 1996 through to 2008, 147 defendants were charged under the EEA. Given the economic espionage concerns that surrounded the birth of the EEA, the composition of the defendants themselves provides insight into the relevance of the drafters' concerns."
