"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Snippet","Abstract"
"Public goods, private contract and public policy: federal preemption of software license prohibitions against reverse engineering","https://scispace.com/paper/n6fDsQwDKgAJ","","","","DA Rice","","","… Some commentators in fact believe that the difficulty of disassembling or decompiling machine readable code makes a reverse engineering defense in software trade secret litigation …",""
"Secrecy and patents: Theory and evidence from the Uniform Trade Secrets Act","https://scispace.com/paper/secrecy-and-patents-theory-and-evidence-from-the-uniform-ty0n0tfoss","2015","Journal Article","Social Science Research Network","Ivan P. L. Png","10.2139/SSRN.2617266","https://pubsonline.informs.org/doi/pdf/10.1287/stsc.2017.0035","… margin, the marginal patent balances appropriability relative to … of inventing around and reverse engineering, and products … of the patent production function excluding software patents, …","Stronger trade secrets law affects patenting in conflicting ways. It raises the return to commercialization and increases the exploitation of inventions, and so, increases patenting. However, for each particular invention, businesses may substitute secrecy for patents. Here, I exploit differences in the timing of the Uniform Trade Secrets Act (UTSA) in U.S. states and the impact on manufacturers with different geographic distribution of R&D to study the effect of stronger trade secrets law on patenting. The UTSA was associated with 19.5 percent fewer patents in complex technology industries but no significant effect in discrete technology industries. Further, the UTSA was associated with relatively greater reduction of patenting of larger inventions, among larger companies which are technology laggards, and in less competitive industries."
"Reverse Engineering: Unfair Competition or Catalyst for Innovation?","https://scispace.com/paper/reverse-engineering-unfair-competition-or-catalyst-for-3sur0ntclm","2009","Book Chapter","Social Science Research Network","Ansgar Ohly","10.1007/978-3-540-88743-0_37","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=1523649","… to the software field, did not treat reverse engineering as a mat… great interest in fundamental issues of patent law. He is also one of … tensions between trade secret law and patent law and …","This article analyzes the position of US and German intellectual property and trade secrets laws with regard to reverse engineering. While there is much consensus between both jurisdictions in the area of IP law, they take opposite positions on trade secret protection. US law has long accepted reverse engineering as a fair means of discovering information, whereas German courts have regarded this practice as being in conflict with trade secrets legislation. This article looks into the law and the policies of reverse engineering and argues that it is not unfair. Even the German statutory provisions, when construed in the light of Article 39 TRIPS, are broad enough to allow the necessary balancing exercise. Whether the use of the information so obtained as a “springboard” for identical copying is permissible is a different matter. The answer to this question should not distinguish between copying enabled by reverse engineering and imitation by means of other technical reproduction measures. When it comes to determining whether the law should prevent “unfair copying”, however, legislations and courts should keep in mind that both a reasonable protection of innovation and freedom of imitation are the lifeblood of a competitive economy."
"Intellectual Property, Contracts, and Reverse Engineering After ProCD: A Proposed Compromise for Computer Software","https://scispace.com/paper/intellectual-property-contracts-and-reverse-engineering-z5k8qvurxx","1999","Journal Article","Fordham Law Review","Anthony J. Mahajan","","https://ir.lawnet.fordham.edu/cgi/viewcontent.cgi?article=3590&context=flr","… against reverse engineering or otherwise modifying a program also help to preserve the secrecy of computer software, which is necessary for trade secret protection.Thus, state …","ideas, laws of nature, and natural phenomena traditionally are ineligible for patent protection; 60 while copyright protects the expression of ideas,61 a patent may only be claimed on the utilitarian embodiment of an idea.62 In other words, copyright law generally eschews protection of functional works, while patent law protects only those works that are functional.63 Further, while copyright law creates limited monopoly rights in original expression but does not prohibit others from using the ideas or knowledge expressed therein, the holder of a patent is granted the right to exclude others from making, using, or selling those ideas functionally embodied by the patent. 64 Finally, patent law, unlike copyright law, protects against subsequent independent inventors. 6 There also are practical considerations involved in determining whether a particular work is best protected under a copyright or a patent. While copyright protection is not as exclusive as patent protection, copyright subsists for the life of the author plus seventy years, or 120 years if the author is a corporation.66 Patent protection, on the other hand, lasts for twenty years from the date of application, after which time the public is allowed free access to the invention. 67 Moreover, the costs associated with obtaining a patent are far higher than those associated with a copyright. The patent process is time-consuming and complicated, and a patent application may cost more than 56. See A. Samuel Oddi, An Uneasier Case for Copyright than for Patent Protection of Computer Programs, 72 Neb. L. Rev. 351, 384 (1993). 57. 35 U.S.C. § 101 (1994). 58. See id. §§ 102, 103. 59. See Vincent Chiappetta, Patentability of Computer Software Instruction as an \""Article of Manufacture:\"" Software as Such as the Right Stuff, 17 J. Marshall J. Computer & Info. L. 89, 100 (1998). 60. See In re Alappat, 33 F.3d 1526, 1542 (Fed. Cir. 1994). 61. See supra Part I.A. 62. See Allen B. Wagner, Patenting Computer Science: Are Computer Instruction Writings Patentable?, 17 J. Marshall J. Computer & Info. L. 5, 33 (1998). 63. See Karjala, Relative Roles, supra note 46, at 41-42. 64. One who, without authority, \""makes, uses or sells any patented invention\"" infringes a patent. 35 U.S.C. § 271(a) (1994). 65. See David Bender & Anthony R. Barkume, Patents for Software-Related Inventions, 5 Software L.J. 279, 287 (1992). 66. See 17 U.S.C.A. § 302(a) (West Supp. 1999). 67. See 35 U.S.C. § 154(a)(2). 3304 [Vol. 67 COMPUTER SOFTWARE COMPROMISE $20,000.68 In addition, there are substantial filing fees, patent issuance fees, and maintenance fees required to maintain the patent for its duration.6 9 Copyright protection, on the other hand, may be secured for the life of the copyright by registration and the payment of a nominal filing fee.7' In recent years, patent protection has become increasingly available to computer programs.71 As computer programs begin to receive both patent and copyright protection, the traditional distinction between patent and copyright law-that patent law protects functional innovations while copyright law eschews protection of functional works,has eroded with reference to computer programs because Congress has carved out an exception for computer programs under copyright. 3 The extent of patent protection available for computer programs, however, has yet to be clearly delineated by the courts or Congress.74 Two recent cases from the Federal Circuit both rejected the \""printed matter\"" doctrine.75 This judicially conceived doctrine was invoked by United States Patent and Trademark Office (\""PTO\"") to deny patent protection to inventions manifested in human-readable medium in the form of printed lines, characters, words, and digits76-as is computer program code. The court's rejection of the printed matter doctrine is indicative of the broadening scope of patentability for computer programs.77 68. See John G. Mills, Possible Defenses to Complaints for Copyright Infringement and Reverse Engineering of Computer Sofnvar: Implications for Antitrust and I.P. Law, 80 J. Pat. & Trademark Off. Soc'y 101, 130 (1998). 69. See id. 70. See 37 C.F.R. § 202.3 (1998). 71. See Mark A. Lemley & David W. O'Brien, Encouraging Software Reuse, 49 Stan. L. Rev. 255, 259 (1997). 72. See KarJala, Relative Roles, supra note 46, at 41-42. 73. See supra note 46; see also Chiappetta, supra note 59, at 156 n.285 (noting the distinction between patent and copyright protection of computer software). 74. See Wagner, supra note 62, at 6. The Patent and Trademark Office (-PTO\"") historically had viewed software components as unpatentable mathematical formulations existing independently of functional structures or processes. See Lemley & O'Brien, supra note 71, at 280-81. Thus, patent claims routinely were rejected by the courts and the PTO unless the claim included an accompanying physical structure or embodiment. See, eg., In re Pardo, 684 F.2d 912, 915 (C.C.P.A. 1982) (describing the two-part test for patentability as involving a determination first whether a mathematical algorithm is recited, and secondly, whether the algorithm is applied to physical elements). 75. See In re Beauregard, 53 F.3d 1583, 1584 (Fed. Cir. 1995) (noting that the Commissioner of Patents and Trademarks had conceded that computer software on computer-readable media is patentable subject matter); In re Lowry, 32 F.3d 1579, 1583 (Fed. Cir. 1994) (holding that the application of the printed matter doctrine was inappropriate where the information in question was to be processed by a machine rather than by the human mind). 76. See Jeffrey R. Kuester et al., A New Frontier in Patents: Patent Claims to Propagated Signals, 17 J. Marshall J. Computer & Info. L. 75, 77 (1998). 77. See also State St. Bank & Trust Co. v. Signature Fin. Group, Inc., 149 F.3d 1368, 1373-74 (Fed. Cir. 1998) (refusing to apply the mathematical algorithm excep1999] 3305"
"So You Want to Take a Trade Secret to a Patent Fight: Managing the Conflicts between Patents and Trade Secret Rights","https://scispace.com/paper/YEve2vlw-PQJ","","","","SR Daniels
SL Williams","","","… no liability under trade secret law for reverse engineering a … in deciding between patent or trade secret protection must be … ... that the [patent] discloses certain manufacturing methods in …",""
"Reverse engineering IP","https://scispace.com/paper/reverse-engineering-ip-bo3xg8zt6k","2013","Posted Content","Social Science Research Network","Tonya M. Evans","","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=2226558","… that justify the patent monopoly. Further, this Article explores how patent policy better … formula in a computer software program qualified for patent protection. See Philip J. Weiser, …","For appropriation art of all types to survive an infringement inquiry, the resulting work must be creative, original, and transformative. However, the line between uses deemed infringing or fair is far from bright, at least in exante determinations by second-generation creators who rely on copyright limitations in the creative process. Accordingly, this Article examines the role that “reverse engineering” and other policies and doctrines have played in the inventive context to protect the “space” such second-generation innovators require to build upon and around existing inventions that justify the patent monopoly. Further, this Article explores how patent policy better protects and encourages that space than does copyright, theoretically and in practice."
"Trade secret fair use","https://scispace.com/paper/trade-secret-fair-use-4opl4fnwn7","2014","Posted Content","Social Science Research Network","Deepa Varadarajan
Deepa Varadarajan","","https://ir.lawnet.fordham.edu/cgi/viewcontent.cgi?article=5061&context=flr","… Although trade secret law has a reverse engineering defense (which has been analogized … Peabody claimed a secret process for manufacturing gunny cloth and sought to enjoin a …","Trade secret law arose to help companies protect confidential information (e.g., the Coca-Cola formula) from competitors seeking to copy their innovative efforts. But companies increasingly use trade secret law to block a wide swath of information from the scrutinizing eyes of consumers, public watchdog groups, and potential improvers. Companies can do this, in part, because trade secret law lacks clear limiting doctrines that consider the social benefits of unauthorized use. For example, trade secret law makes no allowance for the departing employee that uses proprietary information to create a substantially improved product or disclose public health risks. This Article argues that trade secret law's indifference to the social benefits of unauthorized use stands in contrast to other intellectual property doctrines, like patent and copyright. Copyright law incorporates the affirmative defense of ""fair use,"" which aims to protect a variety of unauthorized but socially beneficial uses of another's copyrighted work (e.g., educational uses). To a lesser extent, patent law's reverse doctrine of equivalents and remedies analysis direct courts to consider the social benefits of a defendant's technological improvement. Such limiting doctrines act as safety valves to reconcile intellectual property rights with competing cumulative innovation and First Amendment interests. This Article demonstrates the need for a similar safety valve in trade secret law and argues that courts should adopt a multi-factor ""trade secret fair use"" analysis to better address these competing concerns."
"Patent and trade secret protection of computer technology","https://scispace.com/paper/lUlRAW8AhTQJ","","","","G Siller Jr
JE Retsky","","","… software, reverse engineering may include decompilation of the program stored in a computer. Since an issued patent provides the patent owner … (eg, by reverse engineering) does not …",""
"Patent scope and innovation in the software industry","https://scispace.com/paper/patent-scope-and-innovation-in-the-software-industry-2h3jkgy3tf","2000","Journal Article","Social Science Research Network","Mark A. Lemley
Julie E. Cohen","10.2139/SSRN.209668","https://papers.ssrn.com/sol3/Delivery.cfm?abstractid=282790","… But because patent law contains no fair use or reverse engineering exemption, patentees could use the grant of rights covering a single component of a complex program to prevent any …","Software patents have received a great deal of attention in the academic literature. Unfortunately, most of that attention has been devoted to the problem of whether software is or should be patentable subject matter. With roughly 40,000 software patents already issued, and the Federal Circuit endorsing patentability without qualification, those questions are for the history books. The more pressing questions now concern the scope to be accorded software patents. In this paper, we examine the implications of some traditional patent law doctrines for innovation in the software industry. We argue that patent law needs some refinement if it is to promote rather than impede the growth of this new market, which is characterized by rapid sequential innovation, reuse and re-combination of components, and strong network effects that privilege interoperable components and products. In particular, we argue for two sorts of new rules in software patent cases.First, we advocate a limited right to reverse engineer patented computer programs in order to gain access to and study those programs and to duplicate their unprotected elements. Such a right is firmly established in copyright law, and seems unexceptional as a policy matter even in patent law. But because patent law contains no fair use or reverse engineering exemption, patentees could use the grant of rights on a single component of a complex program to prevent any ""making"" or ""using"" of the program as a whole, including those temporary uses needed in reverse engineering. While patent law does contain doctrines of ""experimental use"" and ""exhaustion,"" it is not at all clear that those doctrines will protect legitimate reverse engineering efforts. We suggest that if these doctrines cannot be read broadly enough to establish such a right, Congress should create a limited right to reverse engineer software containing patented components for research purposes.Second, we argue that in light of the special nature of innovation within the software industry, courts should apply the doctrine of equivalents narrowly in infringement cases. The doctrine of equivalents allows a finding of infringement even when the accused product does not literally satisfy each element of the patent, if there is substantial equivalence as to each element. The test of equivalence is the known interchangeability of claimed and accused elements at the time of (alleged) infringement. A number of factors unique to software and the software industry - a culture of reuse and incremental improvement, a lack of reliance on systems of formal documentation used in other technical fields, the short effective life of software innovations, and the inherent plasticity of code - severely complicate post hoc assessments of the ""known interchangeability"" of software elements. A standard for equivalence of code elements that ignores these factors risks stifling legitimate, successful efforts to design around existing software patents. To avoid this danger, courts should construe software claims narrowly, and should refuse a finding of equivalence if the accused element is ""interchangeable"" with prior art that should have narrowed the original patent, or if the accused improvement is too many generations removed from the original invention."
"The Economic Espionage Act-Reverse Engineering and the Intellectual Property Public Policy","https://scispace.com/paper/FObvQAN9AQwJ","","","","CL Uhrich","","https://repository.law.umich.edu/cgi/viewcontent.cgi?article=1141&context=mttlr","… one encoding format to another as a practical patent on the base algorithm). Cf. Diamond v. … a patent.""The patent law addresses reverse engineering processes as an ancillary issue. A …",""
